tender_no,title,organization,status,closing_date
DISPOSAL/CONDEMNATION OF RETRIEVED TELEPHONE/COPPER CABLES,AUCTION NOTICE,"National Telecommunication Corporation (NTC),Islamabad, Pakistan",,"Jan 9, 2026"
622-641disp,OPEN AUCTION DISPOSAL NOTICE FESCO vehicles,"Faisalabad Electric Supply Company (FESCO),Faisalabad, Pakistan",,"Jan 9, 2026"
KSEW REPAIR & MAINTENANCE WORK OSR - 10352,KSEW REPAIR & MAINTENANCE WORK OSR - 10352,"Karachi Shipyard and Engineering Works Ltd,Karachi west, Pakistan",,"Jan 9, 2026"
89,PRE-QUALIFICATION NOTICE,"Pakistan Engineering Council,Islamabad, Pakistan",,"Jan 9, 2026"
2514203/B-2512/340364,INTERTHANE 870 ARYLIC POLYURETHANE FINISH DK GREY,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 9, 2026"
"KSEW LPR-4522,8443,10137,10330,10524,10733,10913","KSEW LPR-4522,8443,10137,10330,10524,10733,10913","Karachi Shipyard and Engineering Works Ltd,Karachi west, Pakistan",,"Jan 9, 2026"
GS/02/2026,PURCHASE OF CARPET,"Pakistan Institute of Development Economics (PIDE),Islamabad, Pakistan",,"Jan 9, 2026"
12070,INVITATION TO BIDS REPAIR AND MAINTENANCE OF ADMIN BLOCK AT,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 9, 2026"
GS/03/2026,HIRING OF VEHICLES SERVICES ON RENTAL BASIS ALL PAKISTAN,"Pakistan Institute of Development Economics (PIDE),Islamabad, Pakistan",,"Jan 9, 2026"
Ref No. PMDC/Pro/Salt-Grinding plant/WH/3058,Tender Notice for Operation of China Chakki at PMDC Warcha,"Pakistan Mineral Development Corporation(PMDC),Islamabad, Pakistan",,"Jan 9, 2026"
HQ/ADV-25/2025-26,Procurement of Gigabit Passive Optical Network (GPON) Equipment for NTC on Frame Agreement DDP Site Basis,"National Telecommunication Corporation (NTC),Islamabad, Pakistan",,"Jan 9, 2026"
12069,TENDER NOTICE R/M OF HVAC WORKS SERVICES AT JIAP - KARACHI R,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 9, 2026"
13(06-01-2026),"Nursery Division, CDA Capital Development Authority","Capital Development Authority,Islamabad, Pakistan",,"Jan 9, 2026"
ITB No. GSD (MSD)/ Pharmacy/364002/2026,In house pharmacy services for SBPBSC Invitation to Bid,"State Bank of Pakistan,Karachi west, Pakistan",,"Jan 9, 2026"
12063,INVITATION TO BIDS MAINTENANCE AND UPGRADATION OF WATER FILT,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 9, 2026"
ATG 2025/26,Stationery & Misc Trg Items..,"Army Medical College,Rawalpindi, Pakistan",,"Jan 9, 2026"
,Auction,"Cantonment Board,Sanjwal Cantt, Pakistan",,"Jan 9, 2026"
WCB/Engr/465,Heavy Duty Winch Cleaner Machine,"Cantonment Board,Lahore, Pakistan",,"Jan 9, 2026"
Rehab/ Up- Gradation S&T main gate....,Rehab / Up- Gradation S&T main gate....,"Military Engineering Services (Airforce),kamra, Pakistan",,"Jan 9, 2026"
PRD(L)/WAPDA/174(2025-26),WAPDA RE MANGLA DAM ORGANIZATION WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Jan 9, 2026"
SCP/05/2025-26/ITD,Procurement of Audio Video Conferencing System,"Supreme Court of Pakistan,Islamabad, Pakistan",,"Jan 9, 2026"
PRD(L)/WAPDA/175(2025-26),WAPDA GHAZI BAROTHA ATTOCK WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Jan 9, 2026"
PRD(L)/WAPDA/170(2025-26),WAPDA TARBELA HYDEL POWER STATION WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Jan 9, 2026"
9-3/DD ( gen)/Admn/Nab ( K) /2025-26,GPO Building Main I.I Chundrigar Road,"National Accountability Bureau,Karachi central, Pakistan",,"Jan 9, 2026"
3-2/DD ( Gen) Admn/ Nab( K)/2025-26,Office Stationery,"National Accountability Bureau,Karachi central, Pakistan",,"Jan 9, 2026"
M-14,EM-(M-14) -2024-25-05 & 0 Emergency Maintenance Works,"National Highway Authority (NHA),Islamabad, Pakistan",,"Jan 9, 2026"
0005-LP-MGF-56 dt 07.01.2026.,Proc. of Die Cut Packing Foam for Bottom Pistol,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 9, 2026"
0006-LP-56-MGF dt 07.01.2026,Proc. of Tech. Manual for PISTOL PK-9/POFX,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 9, 2026"
E/CS-2(179)/2025,MAINTENANCE AND REPAIR OF KPT FLAT NO CK-05 AT KV-19 BUILDIN,"Karachi Port Trust,Karachi central, Pakistan",,"Jan 8, 2026"
E/CS-2(193)/25,REPAIR AND MAINTENANCE OF KPT FLAT NO EK-92 AT KV-14 BUILDIN,"Karachi Port Trust,Karachi central, Pakistan",,"Jan 8, 2026"
IBD/ENGG-Store/366498/25,Civil and Electrical Items,"State Bank of Pakistan,Islamabad, Pakistan",,"Jan 8, 2026"
NADRA-HQ-RFB-02/2026,Procurement of 297 x Water Dispenser 3 Taps,"National Database and Registration Authority NADRA,Islamabad, Pakistan",,"Jan 8, 2026"
CUI-LHR-TN-26-1890,"4524-Consumable items under PSF funded Project awarded to Dr. Aamir Razaq Physics Department, CUI-Lahore","COMSATS,Lahore, Pakistan",,"Jan 8, 2026"
MNT/TE/002/2026,Cotton Gloves / Cotton Rags / Klingrite Sheet etc,"Sui Northern Gas Pipelines Limited,Multan, Pakistan",,"Jan 8, 2026"
MNT/TE/001/2026,Welding Material,"Sui Northern Gas Pipelines Limited,Multan, Pakistan",,"Jan 8, 2026"
,Conservancy Grant Items,"Pakistan Airforce,Sargodha, Pakistan",,"Jan 8, 2026"
MFEC/39,Construction of Tracks at NAS Turbat,"Marines Fields Engineering Company (Pakistan Navy),Sujawal, Pakistan",,"Jan 8, 2026"
,Cleaning Services,"Embassy of Pakistan,Bishkek, Kyrgyzstan",,"Jan 8, 2026"
5081/RT-6104/Upgrd/25-26/FOR(A)/HRF(T)/SCM dated 02 January,Up-gradation of Connecting Rod Vertical Boring Single Spindl,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Jan 8, 2026"
,,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan WAPDA  GM/PD MOHMAND DAM HYDROPOWER PROJECT WAPDA  PRD(L)/WAPDA/169(2025-26)",,"Jan 9, 2026"
,,"Cantonment Board,Sanjwal Cantt, Pakistan Auction  Auction",,"Jan 9, 2026"
,,"Cantonment Board,Lahore, Pakistan Heavy Duty Winch Cleaner Machine   Heavy Duty Winch Cleaner Machine   WCB/Engr/465",,"Jan 9, 2026"
,,"Military Engineering Services (Airforce),kamra, Pakistan Rehab / Up- Gradation S&T  main gate....  Rehab/ Up- Gradation S&T  main gate....  6982/Advt/85/E6",,"Jan 9, 2026"
,,"Supreme Court of Pakistan,Islamabad, Pakistan Procurement of Audio Video Conferencing System  Procurement of Audio Video Conferencing System  SCP/05/2025-26/ITD",,"Jan 9, 2026"
,,"National Accountability Bureau,Karachi central, Pakistan GPO Building  Main I.I  Chundrigar  Road   GPO Building  Main I.I  Chundrigar  Road   9-3/DD ( gen)/Admn/Nab ( K) /2025-26",,"Jan 9, 2026"
,,"National Highway Authority (NHA),Islamabad, Pakistan EM-(M-14) -2024-25-05 & 0  Emergency Maintenance Works   M-14",,"Jan 9, 2026"
,,"Pakistan Ordnance Factories,Wah Cantt, Pakistan Proc. of Die Cut Packing Foam for Bottom Pistol   Proc. of Die Cut Packing Foam for Bottom Pistol   0005-LP-MGF-56 dt 07.01.2026.",,"Jan 9, 2026"
,,"Karachi Port Trust,Karachi central, Pakistan MAINTENANCE AND REPAIR OF KPT FLAT NO CK-05 AT KV-19 BUILDIN  MAINTENANCE AND REPAIR OF KPT FLAT NO CK-05 AT KV-19 BUILDIN  E/CS-2(179)/2025",,"Jan 8, 2026"
,,"Karachi Port Trust,Karachi central, Pakistan REPAIR AND MAINTENANCE OF KPT FLAT NO EK-92 AT KV-14 BUILDIN  REPAIR AND MAINTENANCE OF KPT FLAT NO EK-92 AT KV-14 BUILDIN   E/CS-2(193)/25",,"Jan 8, 2026"
,,"State Bank of Pakistan,Islamabad, Pakistan Civil and Electrical Items    IBD/ENGG-Store/366498/25",,"Jan 8, 2026"
,,"National Database and Registration Authority NADRA,Islamabad, Pakistan Procurement of 297 x Water Dispenser 3 Taps  Procurement of 297 x Water Dispenser 3 Taps  NADRA-HQ-RFB-02/2026",,"Jan 8, 2026"
,,"Pakistan Navy,Karachi west, Pakistan PROCUREMENT OF MISC SPARES AND GOODS  Normal Tender  CLP/IT/1089",,"Jan 8, 2026"
,,"COMSATS,Lahore, Pakistan 4524-Consumable items under PSF funded Project  awarded to Dr. Aamir Razaq Physics Department, CUI-Lahore   CUI-LHR-TN-26-1890",,"Jan 8, 2026"
,,"Sui Northern Gas Pipelines Limited,Multan, Pakistan Cotton Gloves / Cotton Rags / Klingrite Sheet etc    MNT/TE/002/2026",,"Jan 8, 2026"
,,"Pakistan Airforce,Sargodha, Pakistan Conservancy Grant Items   Conservancy Grant Items",,"Jan 8, 2026"
,,"Marines Fields Engineering Company (Pakistan Navy),Sujawal, Pakistan Construction of Tracks at NAS Turbat    MFEC/39",,"Jan 8, 2026"
,,"Embassy of Pakistan,Bishkek, Kyrgyzstan Cleaning  Services  Cleaning  Services",,"Jan 8, 2026"
,,"Heavy Industries Taxila (HIT),Taxila, Pakistan Up-gradation of Connecting Rod Vertical Boring Single Spindl  Up-gradation of Connecting Rod Vertical Boring Single Spindl  5081/RT-6104/Upgrd/25-26/FOR(A)/HRF(T)/SCM dated 02 January",,"Jan 8, 2026"
379/39,Invitation to E-Bid,"Oil and Gas Development Company Limited,Islamabad, Pakistan",,"Jan 8, 2026"
,Machinery/ Tool...,"Station Workshop EME,Rawalpindi, Pakistan",,"Jan 8, 2026"
7885/IT-8707/2025-26/GF/FOR(B)/SCM dated 07 Jan 2026,PROCUREMENT OF UNICUT NON-SOLUBLE OIL,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Heavy Industries Taxila (HIT),Taxila, Pakistan"
,"Training Items, stationery,etc..","Basic Training Battalion,Nowshera, Pakistan",,"Jan 8, 2026"
33102/ACCTS,Stationery Items,"Basic Training Battalion,Nowshera, Pakistan",,"Jan 8, 2026"
3881/2025-26/RT-7301/FWA/ APC(F)/SCM dated 6 January 2026,Procurement of Four Post Hydraulic Lifter,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Jan 8, 2026"
ppointment of Valuer Firm/Consultant,Appointment of Valuer Firm/Consultant,"Federal Employees Benevolent and Group Insurance Fund,Islamabad, Pakistan",,"Jan 8, 2026"
,,"National Highway and Motorway Police (NHMP),Sararogha, Pakistan Cutting & Stitching of Uniform of NHMP Officer Sector M-2(S)    TENDER  No. 01/SSP/M-2(S)/NHMP/2025-26",,"Jan 8, 2026"
,,"Pakistan Railways,Rawalpindi, Pakistan Auction   Auction",,"Jan 8, 2026"
,,"Heavy Industries Taxila (HIT),Taxila, Pakistan Proc of Mechanical Vacuum Lifter for Lifting of Metal Sheets  N/A   3881/2025-26/RT-7304/FWA/APC (F)/SCM dated 07 January 2026",,"Jan 8, 2026"
,,"Consulate General of Pakistan,New york, United states Const of booths..  Const of booths..  Com/NY/27/2025","May 22, 2026","Jan 8, 2026"
,,"National Defence University,Islamabad, Pakistan Core Firewall,etc..  Core Firewall,etc..",,"Jan 8, 2026"
,,"Pakistan Ordnance Factories,Wah Cantt, Pakistan MS SHEET 19SWG..  MS SHEET 19SWG..  0002-LP-B&G-56-B",,"Jan 8, 2026"
,,"Military Engineering Services (Army),Bannu, Pakistan TC For  External Electric Supply   TC For  External Electric Supply   6000/02/E-6",,"Jan 8, 2026"
,,"Military Engineering Services (Army),Rawalpindi, Pakistan Repair/Replacement of water supply line..  Repair/Replacement of water supply line.",,"Jan 8, 2026"
,,"Ministry of Poverty Alleviation and Social Safty,Islamabad, Pakistan Janitorial and cleaning services  Janitorial and cleaning services  7-12/2025(G)-",,"Jan 8, 2026"
,,"305 Spares Depot EME,Karachi south, Pakistan Misc Items   Misc  Items   12/305-2025-26",,"Jan 8, 2026"
,,"National Highway and Motorway Police (NHMP),Lahore, Pakistan Office Stationery (General),etc..  Office Stationery (General),etc..",,"Jan 8, 2026"
,,"State Life Insurance Corporation of Pakistan,Peshawar, Pakistan Printing Items   Printing Items   HRA &P/pSH/001/2026",,"Jan 8, 2026"
,,"HQ 31 Corps,Bahawalpur, Pakistan Stationery,etc..  Stationery,etc..",,"Jan 8, 2026"
,,"Federal Directorate of Education,Islamabad, Pakistan Establishment of Digital Studio..  Establishment of Digital Studio..  1.1/2025/Connect/ED.Tech/FDE",,"Jan 8, 2026"
,,"NUST College of Electrical and Mechanical Engineering,Rawalpindi, Pakistan Misc Items,etc..  Misc Items,etc..  02/2025-26/EME",,"Jan 8, 2026"
,,"Quetta Electric Supply Company (QESCO),Quetta city, Pakistan Mini Trucks   Mini Trucks",,"Jan 8, 2026"
,,"National Bank of Pakistan,Lahore, Pakistan Renovation & Refurbishment,etc..  Renovation & Refurbishment,etc.",,"Jan 8, 2026"
,,"Sui Northern Gas Pipelines Limited,Fateh jang, Pakistan Civil Material   Civil Material   FCS /RWT/TE/002/26",,"Jan 8, 2026"
,,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan Transfer  Prover Machine   Transfer  Prover Machine   SND-2591/25",,"Jan 8, 2026"
,,"Sui Northern Gas Pipelines Limited,LAHORE, Pakistan 18 Dia...  18 Dia...  01/25-07",,"Jan 8, 2026"
2590020/R2601/360394,"Water Bowzer (10,000 Litters)","Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 8, 2026"
Sig /Proj/LON/SDR/Tender 245,PROCUREMENT OF TOOLS AND ACCESSORIES Tender,"Pakistan Railways,Lahore city, Pakistan",,"Jan 8, 2026"
"0032/LP/CMC/56/P-A, DT: 17-12-2025",Procurement of Machine Spares (Electrical),"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 8, 2026"
CICP/H01/IND/2505093/R-2509/320043,PROCUREMENT OF STEEL CHANNEL CARBON STEEL (FINISH: BLACK),"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 8, 2026"
Sig/Prog/LON-SDR/246/2025,SUPPLY OF RAW MATERIAL Tender,"Pakistan Railways,Lahore city, Pakistan",,"Jan 8, 2026"
CUI-LHR-TN-26-1889,"4471-Air Conditioners, Furniture, Glass board, Notice Board and Window Blinds for IRCBM and Math-Department, CUI-Lahore","COMSATS,Lahore, Pakistan",,"Jan 8, 2026"
CICP/SMSD/AG90B/IND/2567168/R-2512/320325,PROCUREMENT OF CONICAL MOUNT MODEL T-90,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 8, 2026"
2505217/R-2512/310323,"CABLE POWER ELECT ELASTOMERIC LFH, 3 CORES COND276/0.40 440V","Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 8, 2026"
Tender Inquiry No12,Electronic Eqpt Tender Inquiry No 12,"305 Spares Depot EME,Karachi east, Pakistan",,"Jan 8, 2026"
"0006/LP/SCM/56/SAA, DT.19-12-2025",Procurement of Lead Ingots,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 8, 2026"
33102/Accounts,Misc Items,"Junior Leaders Academy (Army),Nowshera, Pakistan",,"Jan 7, 2026"
901/17/Accts,Misc items/ Training Items..,"HQ Force Command,Gilgit, Pakistan",,"Jan 7, 2026"
Advt-01/2026,Misc Items/ Works TC B&R- I Sub Div ...,"Military Engineering Services (Army),Sargodha, Pakistan",,"Jan 7, 2026"
05/2025-26,Stationery Items,"General Headquarters (Army),Rawalpindi, Pakistan",,"Jan 7, 2026"
06/2025-26,"Air Freshner,etc..","General Headquarters (Army),Rawalpindi, Pakistan",,"Jan 7, 2026"
101/ACC- NVP95RA,Purchase of Vaccine,"Canine Company Army,Rawalpindi, Pakistan",,"Jan 7, 2026"
17,Misc Items...,"Central Ordnance Depot,Rawalpindi, Pakistan",,"Jan 7, 2026"
12067,INVITATION TO BIDS FABRICATION AND INSTALLATION OF SS LETTER,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 8, 2026"
NCB-STG-T&P-31 to NCB-STG-T&P-33,"Various STG/T&P Equipment(s) and Test Set(s) Breathers, Temperature Gauges, Primary Injection, C&DF Set","Gujranwala Electric Power Company Limited,Gujranwala, Pakistan",,"Jan 8, 2026"
CC/TUBES/WHRB/2026,Boiler Tubes,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 7, 2026"
SNGPL/NP&D/HDD/TL/01/25-03,12 DIA..,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 7, 2026"
FCS/KPAL/TE/068/2025,Fabrication Material,"Sui Northern Gas Pipelines Limited,Dera ismail khan (d.i. khan), Pakistan",,"Jan 7, 2026"
FCS/KPAL/TE/073/2025,Lowering Material,"Sui Northern Gas Pipelines Limited,Dera ismail khan (d.i. khan), Pakistan",,"Jan 7, 2026"
FCS/KPAL/TE/072/2025,Dewatering Material,"Sui Northern Gas Pipelines Limited,Dera ismail khan (d.i. khan), Pakistan",,"Jan 7, 2026"
12059,NOTICE INVITING TENDER REPLACEMENT OF UNDERPERFORMING AC UNI,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 8, 2026"
FCS/KPAL/TE/071/2025,Grinder Parts,"Sui Northern Gas Pipelines Limited,Dera ismail khan (d.i. khan), Pakistan",,"Jan 7, 2026"
FCS/KPAL/Te/067/2025,Electrical Material,"Sui Northern Gas Pipelines Limited,Dera ismail khan (d.i. khan), Pakistan",,"Jan 7, 2026"
FCS/KPAL/TE/069/2025,C & W Material,"Sui Northern Gas Pipelines Limited,Dera ismail khan (d.i. khan), Pakistan",,"Jan 7, 2026"
PM-19376- nZ,Loading Arms,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 7, 2026"
"0050, 0059-LP-W-56",PROCUREMENT OF PLASTIC MATERIAL & FLANELETTE,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 8, 2026"
PM-19377-NZ,Supply of Pump..,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 8, 2026"
LT-A4686- SZR,Operational Handling Services,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 7, 2026"
CS-19383-SZ,Services Required for PRI Installation on Disaster Recovery (DR) Site,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 7, 2026"
SNT-2303/25,Digital Pressure & Temperature Calibrators,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 7, 2026"
PQ-A4813-SJ,Pre-qualification of SAP partners,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 7, 2026"
AD-193845-SZ,Services for Study of the Complete Building,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 7, 2026"
CF-19374-AS,Mechanical Works,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 7, 2026"
OP-A4815- FF,Annual contract for refilling and repairing,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 7, 2026"
,SLA Renewal for NMS Software,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 7, 2026"
807,Procurement of Janitorial Services for SMEDA Sindh Office,"Small Medium Enterprise Development Authority (SMEDA),Lahore, Pakistan",,"Jan 7, 2026"
3032-3033MM,FESCO TENDER NOTICE Distribution Transformers,"Faisalabad Electric Supply Company (FESCO),Faisalabad, Pakistan",,"Jan 7, 2026"
SSGC/SC/PT/EPADS/14156,Telecomm System Installation of Tower at Jhampir Rs-4 Near N,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 9, 2026"
3027-3030MM,FESCO TENDER NOTICE Supply of Material,"Faisalabad Electric Supply Company (FESCO),Faisalabad, Pakistan",,"Jan 7, 2026"
359/44,Inv to E-Bid,"Oil and Gas Development Company Limited,Islamabad, Pakistan",,"Jan 7, 2026"
UCH/TE/002/2026,SPLIT TYPE AIR CONDITIONER 18000 BTU,"Sui Northern Gas Pipelines Limited,Bahawalnagar, Pakistan",,"Jan 7, 2026"
NADRA-HQ-RFB-01/2026,Civil Works for preparation of 4.5m SATCOM Antenna Base,"National Database and Registration Authority NADRA,Islamabad, Pakistan",,"Jan 7, 2026"
HMC-75/2025 & CORRIGENDUM Tender Notice No: HMC-72/2025,Procurement of Misc Items,"Heavy Mechanical Complex,Taxila, Pakistan",,"Jan 7, 2026"
No. 1106/HSF-69(iv),Purchase of Punjab Textbooks,"National Book Foundation,Islamabad, Pakistan",,"Jan 7, 2026"
E/CS-2(179)/2025,PROVISION OF DEDICATED CHANGING ROOM AND WASH ROOM FACILITY,"Karachi Port Trust,Karachi central, Pakistan",,"Jan 7, 2026"
2590017/R2512/360350,Pickup Double Cabin (4x4),"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 7, 2026"
,Misc Items,"National Highway and Motorway Police (NHMP),Jhelum, Pakistan",,"Jan 7, 2026"
2590030/R2601/360396,Trailer with Prime Mover (10 Tons),"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 12, 2026"
2590025/R2601/360393,04X Armored Personnel Carrier (APC) RHD on chassis of Toyota,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 7, 2026"
CUI-Proc/(TN-715/1/2026),Supply of Furniture Items,"COMSATS University,Islamabad, Pakistan",,"Jan 7, 2026"
2583075/R-2601/380389,NIV Drugs (01 x Item),"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 7, 2026"
12060,INVITATION TO BIDS DEVELOPMENT OF GYMNASIUM AND SOUVENIR SHO,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 7, 2026"
FCS/KPAL/TE/070/2025,Tie In Welding Material,"Sui Northern Gas Pipelines Limited,Dera ismail khan (d.i. khan), Pakistan",,"Jan 7, 2026"
MFEC/38,Construction of Earth Filled Track for Accessing Company HQ,"Marines Fields Engineering Company (Pakistan Navy),Sujawal, Pakistan",,"Jan 7, 2026"
FCS/NSR/TE/001/26,Tyres,"Sui Northern Gas Pipelines Limited,Charsadda, Pakistan",,"Jan 7, 2026"
FCS/KK?/TE/004/26,Testing Material,"Sui Northern Gas Pipelines Limited,Charsadda, Pakistan",,"Jan 7, 2026"
FCS/RWT/001/26,Tyres,"Sui Northern Gas Pipelines Limited,Attock, Pakistan",,"Jan 7, 2026"
Repair/ Replacement/ Maintenance of Hard Standiing .,Repair/ Replacement/ Maintenance of Hard Standiing ..,"Military Engineering Services (Navy),Kech (turbat), Pakistan",,"Jan 7, 2026"
6010-ab/824/E-6,"Const of Bdry Wall,etc..","Military Engineering Services (Army),Karachi central, Pakistan",,"Jan 7, 2026"
12066,AUCTION NOTICE OLD AND BER AUDITORIUM CHAIRS QTY 250 HELD AT,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 7, 2026"
09/205-26,Medical & Scientific ( Consumable) ..,"Public Sector Organization,Karachi central, Pakistan",,"Jan 7, 2026"
,Different Items,"Parachute Training School (SSG),Peshawar, Pakistan",,"Jan 7, 2026"
